school,conference,season,player,avg,gp,ab,r,h,2b,3b,hr,rbi,bb,so,sb,obp,slg
Gwynedd Mercy University,Atlantic East,2025,"Held, Dylan",0.0,2-0,2,0,0,0,0,0,0,0,1,0-0,0.0,0.0
Gwynedd Mercy University,Atlantic East,2025,"Schultz, Ryan",0.0,3-0,1,0,0,0,0,0,0,1,1,0-0,0.5,0.0
Gwynedd Mercy University,Atlantic East,2024,"Junker, Sam",0.37,38-38,135,22,50,6,2,0,26,17,17,7-8,0.463,0.444
Gwynedd Mercy University,Atlantic East,2024,"Ebling, Frank",0.288,37-36,104,14,30,11,2,0,19,13,30,0-0,0.378,0.433
Gwynedd Mercy University,Atlantic East,2024,"Templeton, Ricky",0.285,40-40,144,18,41,7,0,2,17,16,28,0-0,0.377,0.375
Gwynedd Mercy University,Atlantic East,2024,"Root, Cooper",0.285,40-40,137,27,39,4,3,0,17,21,12,1-2,0.395,0.358
Gwynedd Mercy University,Atlantic East,2024,"Haines, Drew",0.25,38-38,136,10,34,7,0,0,18,5,20,3-4,0.28,0.301
Gwynedd Mercy University,Atlantic East,2024,"Nodeland, Chris",0.234,30-28,94,17,22,3,1,1,7,17,29,1-2,0.374,0.319
Gwynedd Mercy University,Atlantic East,2024,"Price, Nick",0.206,39-38,126,19,26,5,1,1,17,16,37,1-2,0.297,0.286
Gwynedd Mercy University,Atlantic East,2024,"Horner, Ryan",0.185,40-40,124,18,23,4,2,0,6,20,52,5-5,0.315,0.25
Gwynedd Mercy University,Atlantic East,2024,"Moule, Jake",0.333,4-1,6,0,2,0,0,0,0,0,2,0-0,0.333,0.333
Gwynedd Mercy University,Atlantic East,2024,"McDonald, Daulton",0.269,28-21,67,10,18,2,0,0,5,9,16,1-2,0.41,0.299
Gwynedd Mercy University,Atlantic East,2024,"Schultz, Ryan",0.25,7-1,4,0,1,0,0,0,1,2,1,0-0,0.429,0.25
Gwynedd Mercy University,Atlantic East,2024,"Hoffman, Pete",0.25,5-0,4,0,1,0,0,0,2,1,1,0-0,0.4,0.25
Gwynedd Mercy University,Atlantic East,2024,"Dye, Quin",0.234,23-13,47,9,11,2,0,0,3,8,13,1-2,0.357,0.277
Gwynedd Mercy University,Atlantic East,2024,"Gerasimowicz, Dom",0.222,8-2,9,0,2,1,0,0,4,2,4,0-0,0.364,0.333
Gwynedd Mercy University,Atlantic East,2024,"Smith, Justin",0.17,21-16,47,7,8,0,0,0,6,8,14,1-1,0.35,0.17
Gwynedd Mercy University,Atlantic East,2024,"Storti, Mike",0.132,14-13,38,1,5,1,0,0,4,4,15,0-0,0.233,0.158
Gwynedd Mercy University,Atlantic East,2024,"Walker, Barry",0.13,12-5,23,2,3,0,0,0,2,2,6,0-1,0.231,0.13
Gwynedd Mercy University,Atlantic East,2024,"Tesche, Aiden",0.1,11-1,10,2,1,0,0,0,2,1,6,0-0,0.182,0.1
Gwynedd Mercy University,Atlantic East,2023,"Root, Cooper",0.395,31-27,86,16,34,6,1,0,27,15,11,3-3,0.48,0.488
Gwynedd Mercy University,Atlantic East,2023,"Junker, Sam",0.358,37-37,148,28,53,5,1,0,30,25,28,6-12,0.462,0.405
Gwynedd Mercy University,Atlantic East,2023,"Martell, Jake",0.342,37-37,146,47,50,5,2,1,17,36,23,20-23,0.492,0.425
Gwynedd Mercy University,Atlantic East,2023,"Price, Nick",0.341,35-34,126,34,43,13,2,2,42,25,32,0-0,0.46,0.524
Gwynedd Mercy University,Atlantic East,2023,"Collins, Billy",0.319,37-37,144,25,46,12,2,4,51,16,33,1-1,0.391,0.514
Gwynedd Mercy University,Atlantic East,2023,"Ebling, Frank",0.295,34-34,105,28,31,8,0,4,19,14,27,3-3,0.406,0.486
Gwynedd Mercy University,Atlantic East,2023,"Nodeland, Chris",0.27,34-34,115,35,31,5,3,1,17,19,25,6-6,0.387,0.391
Gwynedd Mercy University,Atlantic East,2023,"Andress, Noah",0.243,35-35,111,26,27,0,0,2,29,27,18,2-4,0.441,0.297
Gwynedd Mercy University,Atlantic East,2023,"Bailey, Rob",0.238,35-35,126,31,30,5,0,0,12,22,16,1-2,0.349,0.278
Gwynedd Mercy University,Atlantic East,2023,"Gerasimowicz, Dom",0.5,4-1,4,2,2,1,0,0,1,2,0,0-0,0.667,0.75
Gwynedd Mercy University,Atlantic East,2023,"Dye, Quin",0.5,7-0,2,1,1,0,1,0,1,0,1,0-0,0.5,1.5
Gwynedd Mercy University,Atlantic East,2023,"Walker, Barry",0.333,3-3,9,2,3,1,0,0,0,2,3,1-1,0.455,0.444
Gwynedd Mercy University,Atlantic East,2023,"Redican, Zach",0.294,11-4,17,0,5,0,0,0,0,2,4,0-0,0.368,0.294
Gwynedd Mercy University,Atlantic East,2023,"Jamison, Jack",0.185,26-16,54,7,10,2,0,0,9,6,15,2-2,0.362,0.222
Gwynedd Mercy University,Atlantic East,2023,"Smith, Justin",0.176,9-5,17,5,3,0,0,0,1,9,3,2-2,0.462,0.176
Gwynedd Mercy University,Atlantic East,2023,"Grissom, Ryan",0.143,9-4,14,0,2,1,0,0,2,2,6,0-0,0.25,0.214
Gwynedd Mercy University,Atlantic East,2023,"Rubin, J.D.",0.0,2-0,2,0,0,0,0,0,0,0,1,0-0,0.0,0.0
Gwynedd Mercy University,Atlantic East,2023,"Moule, Jake",0.0,9-0,2,2,0,0,0,0,0,0,0,0-0,0.0,0.0
Gwynedd Mercy University,Atlantic East,2022,"Martell, Jake",0.377,38-38,154,37,58,8,0,0,23,16,17,20-25,0.453,0.429
Gwynedd Mercy University,Atlantic East,2022,"Swire, Brett",0.354,38-38,144,30,51,13,2,1,35,15,26,4-5,0.42,0.493
Gwynedd Mercy University,Atlantic East,2022,"Brasier, T.J.",0.322,37-37,143,43,46,16,0,10,40,19,14,5-9,0.42,0.643
Gwynedd Mercy University,Atlantic East,2022,"Collins, Billy  13/44 Collins, Billy",0.317,39-39,139,17,44,15,1,1,33,20,29,1-1,0.425,0.46
Gwynedd Mercy University,Atlantic East,2022,"Price, Nick",0.31,38-37,129,26,40,7,1,1,29,25,23,7-12,0.428,0.403
Gwynedd Mercy University,Atlantic East,2022,"Campbell, Nate",0.28,30-24,82,15,23,3,0,3,14,13,16,2-2,0.4,0.427
Gwynedd Mercy University,Atlantic East,2022,"Walker, Barry",0.278,32-26,79,14,22,1,0,0,7,9,19,3-6,0.363,0.291
Gwynedd Mercy University,Atlantic East,2022,"Bailey, Rob",0.255,38-38,137,27,35,7,1,0,8,15,22,9-9,0.342,0.321
Gwynedd Mercy University,Atlantic East,2022,"Jamison, Jack",0.177,35-28,96,23,17,5,0,0,5,10,28,9-9,0.313,0.229
Gwynedd Mercy University,Atlantic East,2022,"Ebling, Frank",0.172,34-25,58,13,10,2,0,1,9,8,20,5-6,0.284,0.259
Gwynedd Mercy University,Atlantic East,2022,"Redican, Zach",0.75,7-0,4,5,3,1,0,0,2,2,0,0-0,0.857,1.0
Gwynedd Mercy University,Atlantic East,2022,"Boyd, Connor",0.385,5-3,13,4,5,0,0,0,5,1,0,0-1,0.429,0.385
Gwynedd Mercy University,Atlantic East,2022,"Dye, Quin",0.333,8-0,6,5,2,0,0,0,1,0,0,0-0,0.333,0.333
Gwynedd Mercy University,Atlantic East,2022,"Andress, Noah",0.25,29-27,76,12,19,4,0,0,18,17,11,1-2,0.408,0.303
Gwynedd Mercy University,Atlantic East,2022,"Rubin, J.D.",0.2,7-1,5,1,1,0,0,0,0,1,2,0-0,0.333,0.2
Gwynedd Mercy University,Atlantic East,2022,"Livingstone, Trey",0.0,14-9,3,0,0,0,0,0,2,0,1,0-0,0.2,0.0
Gwynedd Mercy University,Atlantic East,2022,"Smith, Justin",0.0,2-0,2,0,0,0,0,0,0,0,0,0-0,0.0,0.0
Gwynedd Mercy University,Atlantic East,2022,"Judge, Cody",0.0,8-0,2,0,0,0,0,0,0,0,2,0-1,0.0,0.0
Gwynedd Mercy University,Atlantic East,2022,24  24,0.0,1-0,1,0,0,0,0,0,0,0,0,0-0,0.0,0.0
Immaculata University,Atlantic East,2026,"Turnage, Nick",0.379,37-35,124,22,47,7,0,0,31,15,16,2-5,0.456,0.435
Immaculata University,Atlantic East,2026,"Nocito, Danny",0.346,37-33,127,30,44,10,1,3,27,16,23,10-14,0.429,0.512
Immaculata University,Atlantic East,2026,"Goulburn, Josh",0.323,32-31,96,13,31,5,1,0,20,14,17,5-10,0.427,0.396
Immaculata University,Atlantic East,2026,"Passerini, Matt",0.315,37-36,127,31,40,4,1,0,23,28,16,5-6,0.461,0.362
Immaculata University,Atlantic East,2026,"Luther, JT",0.309,33-32,97,27,30,4,1,0,16,26,17,4-6,0.469,0.371
Immaculata University,Atlantic East,2026,"Nace, Ryan",0.26,36-29,96,16,25,3,2,0,21,21,15,5-6,0.408,0.333
Immaculata University,Atlantic East,2026,"Barndt, Logan",0.259,30-18,58,19,15,2,0,0,10,20,14,1-5,0.452,0.293
Immaculata University,Atlantic East,2026,"Weitzel, Hunter",0.43,21-21,79,18,34,5,0,0,19,7,7,3-4,0.489,0.494
Immaculata University,Atlantic East,2026,"Hardnock, Luke",0.384,27-24,73,18,28,2,0,1,17,16,12,4-5,0.495,0.452
Immaculata University,Atlantic East,2026,"Mozzone, Joey",0.378,22-13,45,17,17,2,0,0,9,4,5,3-3,0.462,0.422
Immaculata University,Atlantic East,2026,"Kupsey, Jacob",0.357,7-3,14,4,5,1,0,0,0,0,3,0-0,0.438,0.429
Immaculata University,Atlantic East,2026,"Tronosky, Alex",0.326,21-12,46,9,15,4,1,0,9,8,10,3-3,0.439,0.457
Immaculata University,Atlantic East,2026,"Woodward, Robert",0.296,27-25,81,18,24,10,1,1,22,10,17,5-7,0.422,0.481
Immaculata University,Atlantic East,2026,"Robertson, Ryan",0.25,5-1,4,2,1,0,0,0,0,2,2,1-1,0.5,0.25
Immaculata University,Atlantic East,2026,"Ditta, Joey",0.22,23-14,50,9,11,1,0,1,6,6,11,4-4,0.328,0.3
Immaculata University,Atlantic East,2026,"Baumann, Luke",0.171,23-11,41,7,7,1,0,0,3,10,14,0-1,0.375,0.195
Immaculata University,Atlantic East,2026,"McVey, Brennan",0.111,6-4,9,2,1,0,0,0,1,1,3,0-0,0.2,0.111
Immaculata University,Atlantic East,2026,"Hoffmann, Justin",0.1,8-3,10,5,1,0,0,1,3,5,6,0-0,0.438,0.4
Immaculata University,Atlantic East,2026,"Frye, Ryan",0.1,9-3,10,3,1,0,0,0,1,1,5,1-1,0.308,0.1
Immaculata University,Atlantic East,2026,"Veasey, Nate",0.091,13-3,11,2,1,0,0,0,1,0,4,0-0,0.231,0.091
Immaculata University,Atlantic East,2026,"Plebani, Jake",0.0,3-0,3,0,0,0,0,0,0,2,1,0-1,0.4,0.0
Immaculata University,Atlantic East,2026,"Arnold, Patrick",0.0,5-0,0,2,0,0,0,0,0,1,0,1-1,1.0,0.0
Immaculata University,Atlantic East,2025,"Passerini, Matt",0.384,39-39,125,38,48,6,2,0,20,33,16,2-4,0.53,0.464
Immaculata University,Atlantic East,2025,"Kelley, Will",0.37,33-28,92,19,34,1,0,0,22,18,8,2-4,0.491,0.38
Immaculata University,Atlantic East,2025,"Theisen, Steven",0.35,40-40,140,30,49,12,0,2,35,13,16,5-7,0.418,0.479
Immaculata University,Atlantic East,2025,"Serici, Sal",0.331,39-38,136,24,45,11,2,0,25,12,18,8-9,0.397,0.441
Immaculata University,Atlantic East,2025,"Turnage, Nick",0.297,33-27,101,11,30,3,0,0,17,10,27,2-2,0.351,0.327
Immaculata University,Atlantic East,2025,"Nace, Ryan",0.264,36-26,91,23,24,5,2,2,26,21,11,2-2,0.424,0.429
Immaculata University,Atlantic East,2025,"Struble, Ryan",0.259,33-26,81,14,21,7,1,2,15,13,20,4-6,0.423,0.444
Immaculata University,Atlantic East,2025,"Woodward, Robert",0.238,34-28,80,23,19,4,1,3,16,19,38,3-5,0.44,0.425
Immaculata University,Atlantic East,2025,"Stern, Maddox",0.174,38-36,92,12,16,1,1,0,6,9,31,3-4,0.255,0.207
Immaculata University,Atlantic East,2025,"Robertson, Ryan",1.0,1-0,1,1,1,0,0,0,0,0,0,0-0,1.0,1.0
Immaculata University,Atlantic East,2025,"Confrey, Jake",0.667,7-0,3,0,2,0,0,0,1,0,0,0-0,0.667,0.667
Immaculata University,Atlantic East,2025,"Goulburn, Josh",0.444,8-0,9,4,4,1,0,0,2,0,2,0-0,0.4,0.556
Immaculata University,Atlantic East,2025,"Schantz, Blake",0.295,22-15,44,7,13,2,0,0,3,4,7,1-1,0.415,0.341
Immaculata University,Atlantic East,2025,"Steff, Joey",0.278,24-6,36,6,10,2,0,0,8,6,12,0-0,0.395,0.333
Immaculata University,Atlantic East,2025,"Hardnock, Luke",0.222,15-6,27,1,6,1,0,0,3,1,8,0-1,0.276,0.259
Immaculata University,Atlantic East,2025,"Kupsey, Jacob",0.206,22-9,34,4,7,3,0,0,3,3,10,0-0,0.3,0.294
Immaculata University,Atlantic East,2025,"Arnold, Patrick",0.2,18-4,15,4,3,0,0,0,1,5,4,0-1,0.4,0.2
Immaculata University,Atlantic East,2025,"DiGerolamo, Scott",0.2,3-0,5,1,1,0,0,0,0,0,4,0-0,0.333,0.2
Immaculata University,Atlantic East,2025,"Mozzone, Joey",0.171,18-14,41,5,7,1,1,0,2,4,10,2-2,0.261,0.244
Immaculata University,Atlantic East,2025,"Saucedo, Kristian",0.167,17-5,18,2,3,1,0,0,6,5,5,0-0,0.348,0.222
Immaculata University,Atlantic East,2025,"Luther, JT",0.167,11-2,12,4,2,1,0,0,1,1,7,0-0,0.333,0.25
Immaculata University,Atlantic East,2025,"Veasey, Nate",0.167,8-1,6,2,1,0,0,0,0,0,1,0-0,0.167,0.167
Immaculata University,Atlantic East,2025,"Wissmann, Karl",0.154,12-3,13,2,2,1,0,0,3,1,5,0-0,0.267,0.231
Immaculata University,Atlantic East,2025,"Barndt, Logan",0.143,12-6,21,5,3,1,0,0,3,8,6,0-0,0.367,0.19
Immaculata University,Atlantic East,2025,"Meskill, Brayden",0.0,7-1,5,1,0,0,0,0,2,2,1,0-0,0.4,0.0
Immaculata University,Atlantic East,2025,"Breisblatt, Kade",0.0,8-3,5,1,0,0,0,0,2,2,2,0-0,0.25,0.0
Immaculata University,Atlantic East,2025,"Jackson, Aidan",0.0,14-2,1,0,0,0,0,0,0,1,1,0-0,0.5,0.0
Immaculata University,Atlantic East,2024,"Wright, Joey",0.393,44-44,183,50,72,14,3,9,56,23,25,4-4,0.463,0.65
Immaculata University,Atlantic East,2024,"Weitzel, Hunter",0.345,39-35,119,28,41,5,2,1,26,19,22,6-8,0.43,0.445
Immaculata University,Atlantic East,2024,"Crowding, Josh",0.335,44-44,155,40,52,13,0,7,33,37,23,4-4,0.475,0.555
Immaculata University,Atlantic East,2024,"Haut, Shawn",0.331,43-43,175,40,58,11,0,5,37,20,11,14-15,0.406,0.48
Immaculata University,Atlantic East,2024,"Struble, Ryan",0.315,39-36,124,38,39,11,0,3,34,22,36,7-8,0.432,0.476
Immaculata University,Atlantic East,2024,"Sacco, Joey",0.294,44-44,160,46,47,8,0,0,22,47,21,13-15,0.456,0.344
Immaculata University,Atlantic East,2024,"Serici, Sal",0.292,43-35,130,28,38,4,2,2,25,8,24,10-12,0.359,0.4
Immaculata University,Atlantic East,2024,"Theisen, Steven",0.287,35-35,122,20,35,7,0,2,26,12,24,11-12,0.385,0.393
Immaculata University,Atlantic East,2024,"Goulburn, Josh",1.0,4-0,2,1,2,0,0,0,1,0,0,0-0,1.0,1.0
Immaculata University,Atlantic East,2024,"Schantz, Blake",1.0,1-1,1,0,1,0,0,0,0,0,0,0-1,1.0,1.0
Immaculata University,Atlantic East,2024,"Luther, JT",0.4,7-1,5,0,2,0,0,0,0,1,0,0-0,0.5,0.4
Immaculata University,Atlantic East,2024,"Turnage, Nick",0.386,32-23,88,15,34,4,1,0,19,16,10,8-10,0.491,0.455
Immaculata University,Atlantic East,2024,"Sharp, Louis",0.324,22-8,34,3,11,1,0,0,7,0,8,1-2,0.368,0.353
Immaculata University,Atlantic East,2024,"Passerini, Matt",0.313,13-13,32,12,10,1,0,0,6,20,9,0-1,0.593,0.344
Immaculata University,Atlantic East,2024,"Stern, Maddox",0.267,26-12,45,10,12,3,0,0,3,2,13,2-3,0.353,0.333
Immaculata University,Atlantic East,2024,"Woodward, Robert",0.25,22-9,32,10,8,3,0,0,4,6,10,0-0,0.415,0.344
Immaculata University,Atlantic East,2024,"Lawrence, Jay",0.241,30-17,58,6,14,5,0,1,9,8,15,1-1,0.371,0.379
Immaculata University,Atlantic East,2024,"Molinaro, Erik",0.167,19-3,24,3,4,0,0,0,4,2,7,0-0,0.31,0.167
Immaculata University,Atlantic East,2024,"Saucedo, Kristian",0.167,14-1,6,6,1,0,0,0,1,1,1,0-0,0.286,0.167
Immaculata University,Atlantic East,2024,"Steff, Joey",0.091,12-1,11,0,1,0,0,0,1,1,4,0-0,0.154,0.091
Immaculata University,Atlantic East,2024,"DiGerolamo, Scott",0.0,9-0,4,2,0,0,0,0,0,0,2,0-0,0.0,0.0
Immaculata University,Atlantic East,2024,"Mozzone, Joey",0.0,18-0,3,6,0,0,0,0,1,0,1,0-1,0.25,0.0
Immaculata University,Atlantic East,2024,"Wissmann, Karl",0.0,7-0,3,1,0,0,0,0,0,0,1,0-0,0.0,0.0
Immaculata University,Atlantic East,2024,"O'Neil, JJ",0.0,2-0,1,1,0,0,0,0,0,0,0,1-1,0.5,0.0
Immaculata University,Atlantic East,2024,"Veasey, Nate",0.0,1-0,1,0,0,0,0,0,0,0,0,0-0,0.0,0.0
Immaculata University,Atlantic East,2024,"Moonblatt, Colin",0.0,1-0,1,0,0,0,0,0,1,0,0,0-0,0.0,0.0
Immaculata University,Atlantic East,2024,"Aversa, Dom",0.0,3-0,0,0,0,0,0,0,0,1,0,0-0,1.0,0.0
Immaculata University,Atlantic East,2023,"Crowding, Josh",0.415,41-41,147,40,61,22,1,5,56,30,19,3-5,0.527,0.68
Immaculata University,Atlantic East,2023,"Wright, Joey",0.369,41-41,160,44,59,13,0,1,35,28,25,7-7,0.459,0.469
Immaculata University,Atlantic East,2023,"Theisen, Steven",0.353,32-32,119,21,42,7,2,0,32,19,13,9-11,0.458,0.445
Immaculata University,Atlantic East,2023,"Sacco, Joey",0.35,42-42,143,42,50,11,0,1,27,36,15,14-14,0.495,0.448
Immaculata University,Atlantic East,2023,"Margiotta, Frank",0.327,42-42,162,53,53,6,0,0,16,35,22,32-34,0.455,0.364
Immaculata University,Atlantic East,2023,"Klemick, Justin",0.293,38-32,123,28,36,3,0,1,22,11,23,11-16,0.366,0.341
Immaculata University,Atlantic East,2023,"Lawrence, Jay",0.284,36-24,74,11,21,3,0,0,19,19,19,0-0,0.449,0.324
Immaculata University,Atlantic East,2023,"Struble, Ryan",0.255,40-40,137,24,35,9,1,2,31,14,40,6-7,0.352,0.38
Immaculata University,Atlantic East,2023,"Stern, Maddox",0.235,35-33,98,18,23,4,0,1,13,9,35,3-4,0.319,0.306
Immaculata University,Atlantic East,2023,"Esposito, Joe",0.5,2-1,2,0,1,0,0,0,0,0,0,0-0,0.5,0.5
Immaculata University,Atlantic East,2023,"Thomas, Matthew",0.429,9-2,7,3,3,0,0,0,0,0,4,1-1,0.5,0.429
Immaculata University,Atlantic East,2023,"Passerini, Matt",0.4,19-0,15,5,6,0,0,0,7,7,4,0-0,0.565,0.4
Immaculata University,Atlantic East,2023,"McDade, Blaine",0.333,4-0,3,0,1,1,0,0,2,0,1,0-0,0.333,0.667
Immaculata University,Atlantic East,2023,"Molinaro, Erik",0.286,11-3,14,5,4,0,0,0,5,2,0,0-0,0.444,0.286
Immaculata University,Atlantic East,2023,"Schantz, Blake",0.282,22-10,39,2,11,4,0,0,6,1,6,1-4,0.349,0.385
Immaculata University,Atlantic East,2023,"Woodward, Robert",0.235,21-11,51,11,12,4,1,1,9,8,23,1-1,0.361,0.412
Immaculata University,Atlantic East,2023,"Steff, Joey",0.211,17-4,19,1,4,0,0,0,1,4,5,0-0,0.375,0.211
Immaculata University,Atlantic East,2023,"Sasso, Anthony",0.188,12-4,16,1,3,1,0,0,2,3,6,0-0,0.333,0.25
Immaculata University,Atlantic East,2023,"Sharp, Louis",0.182,4-4,11,2,2,0,0,0,1,0,0,0-0,0.308,0.182
Immaculata University,Atlantic East,2023,"Saucedo, Kristian",0.118,22-10,34,3,4,0,0,0,4,2,11,1-2,0.167,0.118
Immaculata University,Atlantic East,2023,"Templeton, Ricky",0.1,11-2,10,3,1,0,0,0,0,2,4,0-0,0.25,0.1
Immaculata University,Atlantic East,2023,"Jones, Andrew",0.0,11-0,1,3,0,0,0,0,0,0,0,1-2,0.0,0.0
Immaculata University,Atlantic East,2023,"Cavagnaro, Christian",0.0,3-0,1,0,0,0,0,0,0,1,1,0-0,0.5,0.0
Immaculata University,Atlantic East,2023,"Robertson, Ryan",0.0,4-0,1,0,0,0,0,0,0,0,1,0-0,0.0,0.0
Immaculata University,Atlantic East,2023,"Carzo, Chris",0.0,3-0,0,0,0,0,0,0,0,0,0,0-1,0.0,0.0
Immaculata University,Atlantic East,2022,"Crowding, Josh",0.365,43-43,159,31,58,14,0,3,41,30,32,0-2,0.465,0.509
Immaculata University,Atlantic East,2022,"Margiotta, Frank",0.347,43-43,170,60,59,4,0,0,17,34,15,24-28,0.462,0.371
Immaculata University,Atlantic East,2022,"Sharp, Louis",0.327,41-39,153,16,50,4,0,0,31,12,14,4-7,0.382,0.353
Immaculata University,Atlantic East,2022,"Theisen, Steven",0.312,37-34,125,20,39,11,0,1,17,13,21,8-9,0.378,0.424
Immaculata University,Atlantic East,2022,"Sacco, Joey",0.303,38-37,142,35,43,11,0,1,21,21,13,10-13,0.418,0.401
Immaculata University,Atlantic East,2022,"Struble, Ryan",0.301,35-34,133,22,40,5,0,0,13,8,28,6-7,0.353,0.338
Immaculata University,Atlantic East,2022,"Wright, Joey",0.294,42-42,160,37,47,19,1,7,54,32,29,3-3,0.411,0.556
Immaculata University,Atlantic East,2022,"Smiley, Jason",0.283,41-37,127,33,36,4,1,0,15,25,25,6-8,0.436,0.331
Immaculata University,Atlantic East,2022,"Palmieri, Giancarlo",0.296,10-9,27,6,8,1,0,0,2,5,7,0-0,0.472,0.333
Immaculata University,Atlantic East,2022,"Stern, Maddox",0.292,12-6,24,6,7,2,0,0,1,1,4,0-0,0.32,0.375
Immaculata University,Atlantic East,2022,"Saucedo, Kristian",0.273,14-3,11,4,3,0,0,0,0,0,1,1-1,0.273,0.273
Immaculata University,Atlantic East,2022,"Templeton, Ricky",0.25,6-3,12,2,3,0,0,0,2,1,0,0-0,0.308,0.25
Immaculata University,Atlantic East,2022,"Lawrence, Jay",0.243,20-9,37,5,9,1,0,1,10,7,16,0-0,0.378,0.351
Immaculata University,Atlantic East,2022,"Payton, Isaiah",0.216,25-21,74,23,16,4,0,4,19,19,25,4-5,0.402,0.432
Immaculata University,Atlantic East,2022,"Javier, Chris",0.194,13-9,31,4,6,0,0,1,5,5,6,1-3,0.306,0.29
Immaculata University,Atlantic East,2022,"Esposito, Joe",0.176,9-5,17,3,3,0,0,0,1,3,1,0-0,0.286,0.176
Immaculata University,Atlantic East,2022,"Hall, Hunter",0.14,19-13,50,7,7,0,0,1,10,5,19,0-0,0.25,0.2
Immaculata University,Atlantic East,2022,"Schantz, Blake",0.0,5-0,2,0,0,0,0,0,0,0,0,0-0,0.0,0.0
Immaculata University,Atlantic East,2022,"Steff, Joey",0.0,1-0,0,0,0,0,0,0,1,0,0,0-0,0.0,0.0
Immaculata University,Atlantic East,2022,"Walters, Coy",0.0,1-0,0,0,0,0,0,0,0,1,0,0-0,1.0,0.0
Marymount University (VA),Atlantic East,2026,"Via, Quincy",0.422,46-46,180,62,76,15,2,3,33,26,26,62-68,0.505,0.578
Marymount University (VA),Atlantic East,2026,"Schick, Evan",0.421,41-41,140,40,59,15,1,1,32,31,16,0-0,0.523,0.564
Marymount University (VA),Atlantic East,2026,"Swekosky, Francis",0.38,45-45,158,40,60,12,2,6,54,22,26,10-15,0.49,0.595
Marymount University (VA),Atlantic East,2026,"Cuadros, Ryan",0.331,40-38,142,30,47,12,4,3,52,16,14,1-1,0.389,0.535
Marymount University (VA),Atlantic East,2026,"Farmakides, Anthony",0.329,41-40,146,30,48,10,1,5,42,16,11,2-2,0.433,0.514
Marymount University (VA),Atlantic East,2026,"Carbonell, Joshmar",0.308,46-46,156,46,48,12,3,0,38,23,17,10-11,0.426,0.423
Marymount University (VA),Atlantic East,2026,"Woodring, Tyler",0.299,43-42,154,39,46,5,4,0,38,24,20,28-33,0.41,0.383
Marymount University (VA),Atlantic East,2026,"Sadler, Seth",0.295,46-46,156,34,46,8,1,1,24,30,33,5-6,0.431,0.378
Marymount University (VA),Atlantic East,2026,"Ellenburg, Gray",0.273,44-44,128,36,35,6,0,1,24,25,16,9-11,0.435,0.344
Marymount University (VA),Atlantic East,2026,"Grebin, Kaleikaumaka",0.714,6-1,7,10,5,2,0,0,2,1,0,1-1,0.8,1.0
Marymount University (VA),Atlantic East,2026,"Simoneau, Aiden",0.316,10-4,19,8,6,0,0,1,1,5,6,0-0,0.458,0.474
Marymount University (VA),Atlantic East,2026,"Kern, Jack",0.31,14-7,29,2,9,2,0,0,4,4,6,0-1,0.394,0.379
Marymount University (VA),Atlantic East,2026,"Alvarez, William",0.208,18-5,24,7,5,0,0,1,5,3,11,0-1,0.345,0.333
Marymount University (VA),Atlantic East,2026,"Shabosky, Cole",0.2,21-0,10,9,2,0,0,0,4,1,2,0-0,0.385,0.2
Marymount University (VA),Atlantic East,2026,"Motilewa, Mekhi",0.2,9-1,10,2,2,0,0,0,2,1,3,0-0,0.385,0.2
Marymount University (VA),Atlantic East,2026,"Orihuela, Thomas",0.2,8-1,10,2,2,0,0,0,1,0,6,0-0,0.273,0.2
Marymount University (VA),Atlantic East,2026,"McMahon, Sean",0.143,6-1,7,2,1,1,0,0,0,1,1,1-1,0.25,0.286
Marymount University (VA),Atlantic East,2026,"Vick, Connor",0.118,14-2,17,3,2,0,0,0,5,1,7,0-0,0.158,0.118
Marymount University (VA),Atlantic East,2026,"Howie, Shane",0.091,10-4,11,1,1,0,0,0,4,8,5,1-1,0.5,0.091
Marymount University (VA),Atlantic East,2026,"Vergel, Jay",0.0,2-0,0,2,0,0,0,0,0,0,0,0-0,0.0,0.0
Marymount University (VA),Atlantic East,2026,"Cecka, Brendan",0.0,3-0,0,0,0,0,0,0,0,0,0,0-0,1.0,0.0
Marymount University (VA),Atlantic East,2025,"McCarthy, Jack",0.399,38-34,138,26,55,8,0,5,44,7,15,3-4,0.444,0.565
Marymount University (VA),Atlantic East,2025,"Leitzel, Bobby",0.387,43-43,163,43,63,8,1,1,35,23,18,18-20,0.456,0.466
Marymount University (VA),Atlantic East,2025,"Schaeb, Andrew",0.359,40-40,131,36,47,8,0,3,37,26,20,8-9,0.452,0.489
Marymount University (VA),Atlantic East,2025,"Cuadros, Ryan",0.358,43-42,151,34,54,11,2,1,40,22,25,7-9,0.439,0.477
Marymount University (VA),Atlantic East,2025,"Dickson, Jordan",0.358,44-44,137,37,49,9,0,1,30,11,17,6-9,0.441,0.445
Marymount University (VA),Atlantic East,2025,"Via, Quincy",0.331,43-43,151,44,50,8,2,2,26,36,26,39-43,0.477,0.45
Marymount University (VA),Atlantic East,2025,"McMath, Jonathan",0.308,35-33,130,27,40,11,1,8,42,14,33,2-2,0.38,0.592
Marymount University (VA),Atlantic East,2025,"Knoess, Kevin",0.27,34-34,111,22,30,6,1,0,15,16,22,4-5,0.361,0.342
Marymount University (VA),Atlantic East,2025,"Woodring, Tyler",0.5,9-1,8,5,4,0,0,0,1,1,1,0-0,0.6,0.5
