school,conference,athletics_domain,platform,url_2026,url_2025,url_2024,url_2023,url_2022,notes
Wheaton College (MA),NEWMAC,wheatoncollegelyons.com,sidearm,https://wheatoncollegelyons.com/sports/baseball/stats/2026,https://wheatoncollegelyons.com/sports/baseball/stats/2025,https://wheatoncollegelyons.com/sports/baseball/stats/2024,https://wheatoncollegelyons.com/sports/baseball/stats/2023,https://wheatoncollegelyons.com/sports/baseball/stats/2022,do not confuse with athletics.wheaton.edu (Wheaton IL)
Worcester Polytechnic Institute,NEWMAC,athletics.wpi.edu,sidearm,https://athletics.wpi.edu/sports/baseball/stats/2026,https://athletics.wpi.edu/sports/baseball/stats/2025,https://athletics.wpi.edu/sports/baseball/stats/2024,https://athletics.wpi.edu/sports/baseball/stats/2023,https://athletics.wpi.edu/sports/baseball/stats/2022,pattern confirmed via search
Anna Maria College,MASCAC,goamcats.com,presto,https://goamcats.com/sports/bsb/2025-26/teams/annamaria,https://thegnac.com/sports/bsb/2024-25/teams/annamaria?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://thegnac.com/sports/bsb/2023-24/teams/annamaria?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://thegnac.com/sports/bsb/2022-23/teams/annamaria?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://thegnac.com/sports/bsb/2021-22/teams/annamaria?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,in GNAC through 2025; slug confirmed
Bridgewater State University,MASCAC,www.bsubears.com,presto,https://www.bsubears.com/sports/bsb/2025-26/teams/bridgewaterst?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.bsubears.com/sports/bsb/2024-25/teams/bridgewaterst?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.bsubears.com/sports/bsb/2023-24/teams/bridgewaterst?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.bsubears.com/sports/bsb/2022-23/teams/bridgewaterst?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.bsubears.com/sports/bsb/2021-22/teams/bridgewaterst?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,slug confirmed on mascac.com; also mirrored at mascac.com
Fitchburg State University,MASCAC,www.fitchburgfalcons.com,presto,https://www.mascac.com/sports/bsb/2025-26/teams/fitchburgst?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.mascac.com/sports/bsb/2024-25/teams/fitchburgst?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.mascac.com/sports/bsb/2023-24/teams/fitchburgst?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.fitchburgfalcons.com/sports/bsb/2022-23/teams/fitchburgst,https://www.fitchburgfalcons.com/sports/bsb/2021-22/teams/fitchburgst,pattern confirmed via search
Framingham State University,MASCAC,www.fsurams.com,presto,https://www.mascac.com/sports/bsb/2025-26/teams/framinghamst?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.mascac.com/sports/bsb/2024-25/teams/framinghamst?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.mascac.com/sports/bsb/2023-24/teams/framinghamst?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.mascac.com/sports/bsb/2022-23/teams/framinghamst?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.mascac.com/sports/bsb/2021-22/teams/framinghamst?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,pattern confirmed via search; also mirrored at mascac.com
Massachusetts Maritime Academy,MASCAC,www.mmabucs.com,presto,https://www.mmabucs.com/sports/bsb/2025-26/teams/massmaritime,https://www.mmabucs.com/sports/bsb/2024-25/teams/massmaritime,https://www.mascac.com/sports/bsb/2023-24/teams/massmaritime?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.mmabucs.com/sports/bsb/2022-23/teams/massmaritime,https://www.mascac.com/sports/bsb/2021-22/teams/massmaritime?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,pattern confirmed via search; also mirrored at mascac.com
MCLA (Massachusetts College of Liberal Arts),MASCAC,athletics.mcla.edu,presto,https://www.mascac.com/sports/bsb/2025-26/teams/mcla?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.mascac.com/sports/bsb/2024-25/teams/mcla?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.mascac.com/sports/bsb/2023-24/teams/mcla?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.mascac.com/sports/bsb/2022-23/teams/mcla?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.mascac.com/sports/bsb/2021-22/teams/mcla?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,pattern confirmed via search
Salem State University,MASCAC,salemstatevikings.com,presto,https://www.mascac.com/sports/bsb/2025-26/teams/salemst?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://salemstatevikings.com/sports/bsb/2024-25/teams/salemst,https://www.mascac.com/sports/bsb/2023-24/teams/salemst?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.mascac.com/sports/bsb/2022-23/teams/salemst?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.mascac.com/sports/bsb/2021-22/teams/salemst?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,do not confuse with salemtigers.com (Salem Univ. WV)
Westfield State University,MASCAC,westfieldstateowls.com,presto,https://www.mascac.com/sports/bsb/2025-26/teams/westfieldst?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.mascac.com/sports/bsb/2024-25/teams/westfieldst?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.mascac.com/sports/bsb/2023-24/teams/westfieldst?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.mascac.com/sports/bsb/2022-23/teams/westfieldst?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.mascac.com/sports/bsb/2021-22/teams/westfieldst?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,pattern confirmed via search
Worcester State University,MASCAC,www.wsulancers.com,presto,https://www.mascac.com/sports/bsb/2025-26/teams/worcesterst?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.mascac.com/sports/bsb/2024-25/teams/worcesterst?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.mascac.com/sports/bsb/2023-24/teams/worcesterst?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.mascac.com/sports/bsb/2022-23/teams/worcesterst?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.mascac.com/sports/bsb/2021-22/teams/worcesterst?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,pattern confirmed via search
Eastern Connecticut State University,Little East,gowarriorathletics.com,sidearm,https://gowarriorathletics.com/sports/baseball/stats/2026,https://gowarriorathletics.com/sports/baseball/stats/2025,https://gowarriorathletics.com/sports/baseball/stats/2024,https://gowarriorathletics.com/sports/baseball/stats/2023,https://gowarriorathletics.com/sports/baseball/stats/2022,confirmed via search
Keene State College,Little East,keeneowls.com,sidearm,https://keeneowls.com/sports/baseball/stats/2026,https://keeneowls.com/sports/baseball/stats/2025,https://keeneowls.com/sports/baseball/stats/2024,https://keeneowls.com/sports/baseball/stats/2023,https://keeneowls.com/sports/baseball/stats/2022,confirmed via search
UMass Boston,Little East,beaconsathletics.com,sidearm,https://beaconsathletics.com/sports/baseball/stats/2026,https://beaconsathletics.com/sports/baseball/stats/2025,https://beaconsathletics.com/sports/baseball/stats/2024,https://beaconsathletics.com/sports/baseball/stats/2023,https://beaconsathletics.com/sports/baseball/stats/2022,confirmed via search
UMass Dartmouth,Little East,corsairathletics.com,sidearm,https://corsairathletics.com/sports/baseball/stats/2026,https://corsairathletics.com/sports/baseball/stats/2025,https://corsairathletics.com/sports/baseball/stats/2024,https://corsairathletics.com/sports/baseball/stats/2023,https://corsairathletics.com/sports/baseball/stats/2022,confirmed via search
Plymouth State University,Little East,athletics.plymouth.edu,sidearm,https://athletics.plymouth.edu/sports/baseball/stats/2026,https://athletics.plymouth.edu/sports/baseball/stats/2025,https://athletics.plymouth.edu/sports/baseball/stats/2024,https://athletics.plymouth.edu/sports/baseball/stats/2023,https://athletics.plymouth.edu/sports/baseball/stats/2022,confirmed via search
Rhode Island College,Little East,goanchormen.com,sidearm,https://www.goanchormen.com/sports/baseball/stats/2026,https://www.goanchormen.com/sports/baseball/stats/2025,https://www.goanchormen.com/sports/baseball/stats/2024,https://www.goanchormen.com/sports/baseball/stats/2023,https://www.goanchormen.com/sports/baseball/stats/2022,confirmed via search
University of Southern Maine,Little East,southernmainehuskies.com,sidearm,https://southernmainehuskies.com/sports/baseball/stats/2026,https://southernmainehuskies.com/sports/baseball/stats/2025,https://southernmainehuskies.com/sports/baseball/stats/2024,https://southernmainehuskies.com/sports/baseball/stats/2023,https://southernmainehuskies.com/sports/baseball/stats/2022,confirmed via search
Vermont State University Castleton,Little East,castletonsports.com,sidearm,https://castletonsports.com/sports/baseball/stats/2026,https://castletonsports.com/sports/baseball/stats/2025,https://castletonsports.com/sports/baseball/stats/2024,https://castletonsports.com/sports/baseball/stats/2023,https://castletonsports.com/sports/baseball/stats/2022,"confirmed; pre-2023 seasons played as Castleton University, same site"
Western Connecticut State University,Little East,westconnathletics.com,sidearm,https://westconnathletics.com/sports/baseball/stats/2026,https://westconnathletics.com/sports/baseball/stats/2025,https://westconnathletics.com/sports/baseball/stats/2024,https://westconnathletics.com/sports/baseball/stats/2023,https://westconnathletics.com/sports/baseball/stats/2022,confirmed via search
Curry College,Conference of New England,curryathletics.com,presto,https://curryathletics.com/sports/bsb/2025-26/teams/curry?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://curryathletics.com/sports/bsb/2024-25/teams/curry?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://curryathletics.com/sports/bsb/2023-24/teams/curry?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://curryathletics.com/sports/bsb/2022-23/teams/curry?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://curryathletics.com/sports/bsb/2021-22/teams/curry?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,confirmed via search
Endicott College,Conference of New England,ecgulls.com,presto,https://ecgulls.com/sports/bsb/2025-26/teams/endicott?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://ecgulls.com/sports/bsb/2024-25/teams/endicott?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://ecgulls.com/sports/bsb/2023-24/teams/endicott?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://ecgulls.com/sports/bsb/2022-23/teams/endicott?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://ecgulls.com/sports/bsb/2021-22/teams/endicott?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,confirmed via search
Gordon College,Conference of New England,athletics.gordon.edu,sidearm,https://athletics.gordon.edu/sports/baseball/stats/2026,https://athletics.gordon.edu/sports/baseball/stats/2025,https://athletics.gordon.edu/sports/baseball/stats/2024,https://athletics.gordon.edu/sports/baseball/stats/2023,https://athletics.gordon.edu/sports/baseball/stats/2022,confirmed via search
University of Hartford,Conference of New England,hartfordhawks.com,sidearm,https://hartfordhawks.com/sports/baseball/stats/2026,https://hartfordhawks.com/sports/baseball/stats/2025,https://hartfordhawks.com/sports/baseball/stats/2024,https://hartfordhawks.com/sports/baseball/stats/2023,https://hartfordhawks.com/sports/baseball/stats/2022,"confirmed; 2022-23 seasons played during D1-to-D3 transition, same site"
Johnson & Wales University (RI),Conference of New England,providence.jwuathletics.com,sidearm,https://providence.jwuathletics.com/sports/baseball/stats/2026,https://providence.jwuathletics.com/sports/baseball/stats/2025,https://providence.jwuathletics.com/sports/baseball/stats/2024,https://providence.jwuathletics.com/sports/baseball/stats/2023,https://providence.jwuathletics.com/sports/baseball/stats/2022,"confirmed pattern (stats/2019 seen); Providence subdomain; GNAC member through 2025, joined CNE 2026"
Nichols College,Conference of New England,nicholsathletics.com,sidearm,https://nicholsathletics.com/sports/baseball/stats/2026,https://nicholsathletics.com/sports/baseball/stats/2025,https://nicholsathletics.com/sports/baseball/stats/2024,https://nicholsathletics.com/sports/baseball/stats/2023,https://nicholsathletics.com/sports/baseball/stats/2022,confirmed via search
Roger Williams University,Conference of New England,rwuhawks.com,sidearm,https://rwuhawks.com/sports/baseball/stats/2026,https://rwuhawks.com/sports/baseball/stats/2025,https://rwuhawks.com/sports/baseball/stats/2024,https://rwuhawks.com/sports/baseball/stats/2023,https://rwuhawks.com/sports/baseball/stats/2022,confirmed via search
Suffolk University,Conference of New England,gosuffolkrams.com,presto,https://www.gosuffolkrams.com/sports/bsb/2025-26/teams/suffolk?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.gosuffolkrams.com/sports/bsb/2024-25/teams/suffolk?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.gosuffolkrams.com/sports/bsb/2023-24/teams/suffolk?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.gosuffolkrams.com/sports/bsb/2022-23/teams/suffolk?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.gosuffolkrams.com/sports/bsb/2021-22/teams/suffolk?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,confirmed via search
Wentworth Institute of Technology,Conference of New England,wentworthathletics.com,presto,https://www.wentworthathletics.com/sports/bsb/2025-26/teams/wentworth?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.wentworthathletics.com/sports/bsb/2024-25/teams/wentworth?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.wentworthathletics.com/sports/bsb/2023-24/teams/wentworth?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.wentworthathletics.com/sports/bsb/2022-23/teams/wentworth,https://www.wentworthathletics.com/sports/bsb/2021-22/teams/wentworth?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,confirmed via search
Western New England University,Conference of New England,wnegoldenbears.com,sidearm,https://wnegoldenbears.com/sports/baseball/stats/2026,https://wnegoldenbears.com/sports/baseball/stats/2025,https://wnegoldenbears.com/sports/baseball/stats/2024,https://wnegoldenbears.com/sports/baseball/stats/2023,https://wnegoldenbears.com/sports/baseball/stats/2022,confirmed via boxscore URL pattern
Albertus Magnus College,GNAC,albertusfalcons.com,presto,https://albertusfalcons.com/sports/bsb/2025-26/teams/albertusmagnus?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://albertusfalcons.com/sports/bsb/2024-25/teams/albertusmagnus?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://albertusfalcons.com/sports/bsb/2023-24/teams/albertusmagnus?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.thegnac.com/sports/bsb/2022-23/teams/albertusmagnus?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://albertusfalcons.com/sports/bsb/2021-22/teams/albertusmagnus?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,school site is Presto; stats URLs use GNAC conference site (confirmed slug)
Colby-Sawyer College,GNAC,colby-sawyerathletics.com,sidearm,https://www.colby-sawyerathletics.com/sports/baseball/stats/2026,https://www.colby-sawyerathletics.com/sports/baseball/stats/2025,https://www.colby-sawyerathletics.com/sports/baseball/stats/2024,https://www.colby-sawyerathletics.com/sports/baseball/stats/2023,https://www.colby-sawyerathletics.com/sports/baseball/stats/2022,confirmed via search
Dean College,GNAC,deanbulldogs.com,sidearm,https://deanbulldogs.com/sports/baseball/stats/2026,https://deanbulldogs.com/sports/baseball/stats/2025,https://deanbulldogs.com/sports/baseball/stats/2024,https://deanbulldogs.com/sports/baseball/stats/2023,https://deanbulldogs.com/sports/baseball/stats/2022,confirmed via search
Elms College,GNAC,ecblazers.com,presto,https://www.ecblazers.com/sports/bsb/2025-26/teams/elms,https://www.thegnac.com/sports/bsb/2024-25/teams/elms?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.thegnac.com/sports/bsb/2023-24/teams/elms?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.thegnac.com/sports/bsb/2022-23/teams/elms?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.thegnac.com/sports/bsb/2021-22/teams/elms?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,confirmed via search
Lasell University,GNAC,laserpride.lasell.edu,presto,https://www.thegnac.com/sports/bsb/2025-26/teams/lasell?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.thegnac.com/sports/bsb/2024-25/teams/lasell?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.thegnac.com/sports/bsb/2023-24/teams/lasell?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.thegnac.com/sports/bsb/2022-23/teams/lasell?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.thegnac.com/sports/bsb/2021-22/teams/lasell?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,confirmed via search (2023-24 team page seen)
Mitchell College,GNAC,mitchellathletics.com,presto,https://www.thegnac.com/sports/bsb/2025-26/teams/mitchell?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.thegnac.com/sports/bsb/2024-25/teams/mitchell?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.mitchellathletics.com/sports/bsb/2023-24/teams/mitchell,https://www.mitchellathletics.com/sports/bsb/2022-23/teams/mitchell,https://www.mitchellathletics.com/sports/bsb/2021-22/teams/mitchell,confirmed via search
New England College,GNAC,athletics.nec.edu,sidearm,https://athletics.nec.edu/sports/baseball/stats/2026,https://athletics.nec.edu/sports/baseball/stats/2025,https://athletics.nec.edu/sports/baseball/stats/2024,https://athletics.nec.edu/sports/baseball/stats/2023,https://athletics.nec.edu/sports/baseball/stats/2022,confirmed via search
Norwich University,GNAC,norwichathletics.com,sidearm,https://norwichathletics.com/sports/baseball/stats/2026,https://norwichathletics.com/sports/baseball/stats/2025,https://norwichathletics.com/sports/baseball/stats/2024,https://norwichathletics.com/sports/baseball/stats/2023,https://norwichathletics.com/sports/baseball/stats/2022,confirmed via boxscore URL pattern
Rivier University,GNAC,rivierathletics.com,sidearm,https://rivierathletics.com/sports/baseball/stats/2026,https://rivierathletics.com/sports/baseball/stats/2025,https://rivierathletics.com/sports/baseball/stats/2024,https://rivierathletics.com/sports/baseball/stats/2023,https://rivierathletics.com/sports/baseball/stats/2022,confirmed via boxscore URL pattern
Saint Joseph's College of Maine,GNAC,gomonks.com,sidearm,https://gomonks.com/sports/baseball/stats/2026,https://gomonks.com/sports/baseball/stats/2025,https://gomonks.com/sports/baseball/stats/2024,https://gomonks.com/sports/baseball/stats/2023,https://gomonks.com/sports/baseball/stats/2022,confirmed via search
University of Saint Joseph (CT),GNAC,usjbluejays.com,presto,https://www.thegnac.com/sports/bsb/2025-26/teams/saintjoseph,https://www.thegnac.com/sports/bsb/2024-25/teams/saintjoseph,https://www.thegnac.com/sports/bsb/2023-24/teams/saintjosephconn?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://www.thegnac.com/sports/bsb/2022-23/teams/saintjoseph,https://www.thegnac.com/sports/bsb/2021-22/teams/saintjoseph,school site is Presto but team-stats slug unconfirmed; GNAC-site URLs with guessed slug — verify
Husson University,North Atlantic Conference,hussoneagles.com,sidearm,https://hussoneagles.com/sports/baseball/stats/2026,https://hussoneagles.com/sports/baseball/stats/2025,https://hussoneagles.com/sports/baseball/stats/2024,https://hussoneagles.com/sports/baseball/stats/2023,https://hussoneagles.com/sports/baseball/stats/2022,confirmed via search results
Lesley University,North Atlantic Conference,lesleyathletics.com,presto,https://lesleyathletics.com/sports/bsb/2025-26/teams/lesley,https://lesleyathletics.com/sports/bsb/2024-25/teams/lesley,https://lesleyathletics.com/sports/bsb/2023-24/teams/lesley?tmpl=teaminfo-network-monospace-template&sort=ab&pos=h,https://lesleyathletics.com/sports/bsb/2022-23/teams/lesley,https://lesleyathletics.com/sports/bsb/2021-22/teams/lesley,2025-26/2024-25/2023-24 confirmed; 2021-22 may only exist at athletics.lesley.edu archive
SUNY Cobleskill,North Atlantic Conference,fightingtigers.cobleskill.edu,sidearm,https://fightingtigers.cobleskill.edu/sports/baseball/stats/2026,https://fightingtigers.cobleskill.edu/sports/baseball/stats/2025,https://fightingtigers.cobleskill.edu/sports/baseball/stats/2024,https://fightingtigers.cobleskill.edu/sports/baseball/stats/2023,https://fightingtigers.cobleskill.edu/sports/baseball/stats/2022,Sidearm confirmed via cobleskill.sidearmsports.com stats PDF
Thomas College,North Atlantic Conference,athletics.thomas.edu,sidearm,https://athletics.thomas.edu/sports/baseball/stats/2026,https://athletics.thomas.edu/sports/baseball/stats/2025,https://athletics.thomas.edu/sports/baseball/stats/2024,https://athletics.thomas.edu/sports/baseball/stats/2023,https://athletics.thomas.edu/sports/baseball/stats/2022,confirmed via search results
University of Maine at Farmington,North Atlantic Conference,goumfbeavers.com,sidearm,https://goumfbeavers.com/sports/baseball/stats/2026,https://goumfbeavers.com/sports/baseball/stats/2025,https://goumfbeavers.com/sports/baseball/stats/2024,https://goumfbeavers.com/sports/baseball/stats/2023,https://goumfbeavers.com/sports/baseball/stats/2022,confirmed via search results
University of Maine at Presque Isle,North Atlantic Conference,owls.umpi.edu,sidearm,https://owls.umpi.edu/sports/baseball/stats/2026,https://owls.umpi.edu/sports/baseball/stats/2025,https://owls.umpi.edu/sports/baseball/stats/2024,https://owls.umpi.edu/sports/baseball/stats/2023,https://owls.umpi.edu/sports/baseball/stats/2022,Sidearm confirmed via box score URLs
Vermont State University Lyndon,North Atlantic Conference,vtsuhornets.com,sidearm,https://vtsuhornets.com/sports/baseball/stats/2026,https://vtsuhornets.com/sports/baseball/stats/2025,https://vtsuhornets.com/sports/baseball/stats/2024,https://vtsuhornets.com/sports/baseball/stats/2023,https://vtsuhornets.com/sports/baseball/stats/2022,2022 season predates VTSU rebrand (was Northern Vermont-Lyndon); URL may still resolve
